Year,Month,meanmaxtemp,meanmintemp,precip
1999,1,26.6,20.5,178
1999,2,26.1,19.6,143
1999,3,25.7,18.9,28
1999,4,21.7,13.8,244.8
1999,5,20.9,12.2,57.4
1999,6,17.8,10.1,93.8
1999,7,17.7,9.6,181.6
1999,8,18.8,10.1,134.8
1999,9,21.2,12.6,30
1999,10,22.8,15,205.2
1999,11,22.3,14.7,91.4
1999,12,23.6,17.7,82.4
2000,1,24.8,17.8,55.8
2000,2,27.5,19.6,18.6
2000,3,25.3,19,248.4
2000,4,23.4,15.4,64
2000,5,20.4,12.2,55.8
2000,6,17.6,8.5,37
2000,7,18.3,8.7,25.4
2000,8,18.8,9.3,20.6
2000,9,22.7,12.5,29.4
2000,10,22.9,14.7,79.4
2000,11,23.6,17.2,140.8
2000,12,27.6,19.5,46.4
2001,1,27.3,20.5,186.4
2001,2,27.3,20.6,109
2001,3,25.8,18.5,110.2
2001,4,24,15.5,162.2
2001,5,19.9,11.4,371.4
2001,6,19.9,10,22
2001,7,17.5,9.7,128
2001,8,19.5,9.3,72.8
2001,9,22.3,13.1,27.6
2001,10,24,14.1,30.6
2001,11,23.5,15.6,98.4
2001,12,26.2,18.5,40.2
2002,1,27.2,19.8,98.4
2002,2,25.2,19.1,348.2
2002,3,25.7,18.2,45.4
2002,4,24.3,16.4,68.4
2002,5,20.1,12.1,92.8
2002,6,18.1,9.7,28.4
2002,7,18.5,7.9,24.2
2002,8,19.6,9.8,19.8
2002,9,22.7,12.4,21.8
2002,10,24.5,14.6,5.8
2002,11,25.3,17.2,31.8
2002,12,25.4,18,75
2003,1,27.2,19.7,13.6
2003,2,27.1,20.6,59.4
2003,3,25.2,17.5,132
2003,4,22.7,15,192.2
2003,5,20.6,13.1,348.6
2003,6,19.6,10.6,76.4
2003,7,17.8,9,58.2
2003,8,19.1,9.1,43
2003,9,22.6,12.5,5.8
2003,10,21.6,13,102.8
2003,11,22.7,15.4,108.8
2003,12,26,18.8,59.6
2004,1,27.6,20.1,50.8
2004,2,28.1,20.3,129.4
2004,3,26.1,18.7,100.8
2004,4,24.2,16.2,33.2
2004,5,21.3,11.5,8
2004,6,19.9,9.7,39
2004,7,18,8.8,43.8
2004,8,19.7,10.1,153.4
2004,9,21.8,11.8,60.2
2004,10,23.3,14.8,234
2004,11,25.4,16.3,66.8
2004,12,25.6,18.1,75.8
2005,1,26.6,19.6,67.8
2005,2,27.4,19.4,125
2005,3,24.3,16.9,153.6
2005,4,25.1,16.6,33.4
2005,5,21.2,12.2,48.4
2005,6,19.2,10.6,79
2005,7,19,9.3,62.8
2005,8,20,9.2,1.6
2005,9,21,12.1,51.2
2005,10,24.3,15.8,43
2005,11,23.9,16.9,125
2005,12,28.6,18.9,25.2
2006,1,27,20.6,121.4
2006,2,27.8,20.3,51.2
2006,3,27.1,19.6,40.2
2006,4,24.6,14.3,9.8
2006,5,20.6,11.4,40.4
2006,6,17,8.7,176.8
2006,7,17.9,9.1,140.2
2006,8,19.8,10,86
2006,9,23.1,13.4,192
2006,10,24.2,14.6,17.2
2006,11,24.3,16.5,44.6
2006,12,24.2,17.6,74.2
2007,1,26.4,19.7,45.4
2007,2,26,20.6,107.6
2007,3,26.3,19,65.4
2007,4,23,15.6,179.6
2007,5,22.4,13.7,9.8
2007,6,16.8,9.4,510.6
2007,7,17.1,8.5,67.2
2007,8,19.9,11.7,152.2
2007,9,20.9,12.6,41.2
2007,10,25,15.7,27
2007,11,23.5,17.5,170
2007,12,24.7,18.5,123.2
2008,1,26,20.3,57
2008,2,24.8,18.5,258.4
2008,3,25.1,17.4,63.4
2008,4,21.5,13.9,146.6
2008,5,20.5,11.4,3
2008,6,18.6,11.9,127.2
2008,7,17.2,8.3,89.6
2008,8,17.3,8.1,44.2
2008,9,21.4,12.2,99.2
2008,10,23.2,14.5,66.6
2008,11,23.7,16.7,73.2
2008,12,25.9,18.1,54.2
2009,1,27.6,19.9,24.8
2009,2,25.7,19.7,127.6
2009,3,25.4,18.9,60.6
2009,4,22.8,15.7,152.6
2009,5,20.7,12.5,125.8
2009,6,17.9,10.3,129.8
2009,7,18.3,9.2,53
